,stdHour,iYear,iStUnitCode,iEdUnitCode,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,stUnitNm,stUnitCode,edUnitNm,edUnitCode,dirNm,dirCode,trtm,message,code
227,20,,,,2022,설날,2,D+2,6,서울,101 ,부산,140 ,귀성방향,1,241.400000000000000000000000,,
228,21,,,,2022,설날,2,D+2,6,서울,101 ,부산,140 ,귀성방향,1,244.600000000000000000000000,,
229,00,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,,,
230,01,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,222.166000000000000000000000,,
231,02,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,234.666333333333333333333333,,
232,03,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,218.741500000000000000000000,,
233,04,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,222.399500000000000000000000,,
234,05,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,252.133000000000000000000000,,
235,06,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,238.411000000000000000000000,,
236,07,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,234.608000000000000000000000,,
237,08,,,,2022,설날,2,D+3,7,서울,101 ,부산,140 ,귀성방향,1,240.341000000000000000000000,,
